,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.7384615384615385,0.7230769230769231,0.8153846153846154,0.7307692307692307,0.6923076923076923,0.6461538461538462,0.813953488372093,0.9069767441860465,0.8914728682170543,0.9844961240310077,0.9027777777777778,gini,3.0,5
1,0.7384615384615385,0.7230769230769231,0.8153846153846154,0.7307692307692307,0.6923076923076923,0.6461538461538462,0.813953488372093,0.9069767441860465,0.8914728682170543,0.9844961240310077,0.9027777777777778,gini,3.0,10
2,0.7384615384615385,0.7230769230769231,0.8153846153846154,0.7307692307692307,0.6923076923076923,0.6461538461538462,0.813953488372093,0.9069767441860465,0.8914728682170543,0.9844961240310077,0.9027777777777778,gini,3.0,15
3,0.7384615384615385,0.7230769230769231,0.8153846153846154,0.7307692307692307,0.6923076923076923,0.6461538461538462,0.813953488372093,0.9069767441860465,0.8914728682170543,0.9844961240310077,0.9027777777777778,gini,3.0,20
4,0.7384615384615385,0.7230769230769231,0.8153846153846154,0.7307692307692307,0.6923076923076923,0.6461538461538462,0.813953488372093,0.9069767441860465,0.8914728682170543,0.9844961240310077,0.9027777777777778,gini,3.0,25
5,0.7384615384615385,0.7230769230769231,0.8153846153846154,0.7307692307692307,0.6923076923076923,0.6461538461538462,0.813953488372093,0.9069767441860465,0.8914728682170543,0.9844961240310077,0.9027777777777778,gini,3.0,30
6,0.7384615384615385,0.7230769230769231,0.8153846153846154,0.7307692307692307,0.6923076923076923,0.6461538461538462,0.813953488372093,0.9069767441860465,0.8914728682170543,0.9844961240310077,0.9027777777777778,gini,3.0,35
7,0.7384615384615385,0.7230769230769231,0.8153846153846154,0.7307692307692307,0.6923076923076923,0.6461538461538462,0.813953488372093,0.9069767441860465,0.8914728682170543,0.9844961240310077,0.9027777777777778,gini,3.0,40
8,0.7384615384615385,0.7230769230769231,0.8153846153846154,0.7307692307692307,0.6923076923076923,0.6461538461538462,0.813953488372093,0.9069767441860465,0.8914728682170543,0.9844961240310077,0.9027777777777778,gini,3.0,45
9,0.7384615384615385,0.7230769230769231,0.8153846153846154,0.7307692307692307,0.6923076923076923,0.6461538461538462,0.813953488372093,0.9069767441860465,0.8914728682170543,0.9844961240310077,0.9027777777777778,gini,3.0,50
10,1.0,0.7230769230769231,0.6692307692307692,0.9076923076923077,0.6923076923076923,0.6461538461538462,0.6744186046511628,0.8914728682170543,0.8914728682170543,0.9224806201550387,0.8194444444444444,gini,4.0,5
